Container is store 10000 elements:
0: It Cyclic cipher: ciphered_text = x, deciphered_text = a, Division = 97.0
39: It Cyclic cipher: ciphered_text = z, deciphered_text = b, Division = 98.0
40: It Cyclic cipher: ciphered_text = t, deciphered_text = b, Division = 98.0
41: It Cyclic cipher: ciphered_text = ab, deciphered_text = bc, Division = 98.5
42: It Cyclic cipher: ciphered_text = xw, deciphered_text = cb, Division = 98.5
43: It Cyclic cipher: ciphered_text = zy, deciphered_text = cb, Division = 98.5
44: It Symbols cipher: ciphered_text = dbd, deciphered_text = afa, function_result = 98.66666666666667
45: It Symbols cipher: ciphered_text = hkp, deciphered_text = aaf, function_result = 98.66666666666667
46: It Cyclic cipher: ciphered_text = zbc, deciphered_text = acd, Division = 98.66666666666667
47: It Cyclic cipher: ciphered_text = b, deciphered_text = c, Division = 99.0
48: It Cyclic cipher: ciphered_text = b, deciphered_text = c, Division = 99.0
49: It Cyclic cipher: ciphered_text = x, deciphered_text = c, Division = 99.0
50: It Cyclic cipher: ciphered_text = z, deciphered_text = c, Division = 99.0
51: It Cyclic cipher: ciphered_text = b, deciphered_text = c, Division = 99.0
52: It Cyclic cipher: ciphered_text = v, deciphered_text = c, Division = 99.0
53: It Cyclic cipher: ciphered_text = x, deciphered_text = c, Division = 99.0
54: It Cyclic cipher: ciphered_text = t, deciphered_text = c, Division = 99.0
55: It Cyclic cipher: ciphered_text = t, deciphered_text = c, Division = 99.0
56: It Cyclic cipher: ciphered_text = a, deciphered_text = c, Division = 99.0
57: It Cyclic cipher: ciphered_text = ya, deciphered_text = bd, Division = 99.0
58: It Cyclic cipher: ciphered_text = u, deciphered_text = c, Division = 99.0
59: It Cyclic cipher: ciphered_text = z, deciphered_text = c, Division = 99.0
60: It Cyclic cipher: ciphered_text = u, deciphered_text = c, Division = 99.0
61: It Symbols cipher: ciphered_text = cyv, deciphered_text = baf, function_result = 99.0
62: It Cyclic cipher: ciphered_text = s, deciphered_text = c, Division = 99.0
63: It Cyclic cipher: ciphered_text = w, deciphered_text = c, Division = 99.0
64: It Cyclic cipher: ciphered_text = u, deciphered_text = c, Division = 99.0
65: It Cyclic cipher: ciphered_text = t, deciphered_text = c, Division = 99.0
66: It Cyclic cipher: ciphered_text = x, deciphered_text = c, Division = 99.0
67: It Cyclic cipher: ciphered_text = b, deciphered_text = c, Division = 99.0
68: It Cyclic cipher: ciphered_text = vtv, deciphered_text = dbd, Division = 99.33333333333333
69: It Cyclic cipher: ciphered_text = rvqsus, deciphered_text = bfacec, Division = 99.33333333333333
70: It Cyclic cipher: ciphered_text = vq, deciphered_text = fa, Division = 99.5
71: It Symbols cipher: ciphered_text = jjvc, deciphered_text = ffba, function_result = 99.75
72: It Cyclic cipher: ciphered_text = yw, deciphered_text = ec, Division = 100.0
73: It Cyclic cipher: ciphered_text = bv, deciphered_text = ga, Division = 100.0
74: It Cyclic cipher: ciphered_text = x, deciphered_text = d, Division = 100.0
75: It Cyclic cipher: ciphered_text = t, deciphered_text = d, Division = 100.0
76: It Cyclic cipher: ciphered_text = v, deciphered_text = d, Division = 100.0
77: It Symbols cipher: ciphered_text = yrf, deciphered_text = bcg, function_result = 100.0
78: It Cyclic cipher: ciphered_text = z, deciphered_text = d, Division = 100.0
79: It Cyclic cipher: ciphered_text = a, deciphered_text = d, Division = 100.0
80: It Cyclic cipher: ciphered_text = b, deciphered_text = d, Division = 100.0
81: It Cyclic cipher: ciphered_text = b, deciphered_text = d, Division = 100.0
82: It Cyclic cipher: ciphered_text = u, deciphered_text = d, Division = 100.0
83: It Cyclic cipher: ciphered_text = rvt, deciphered_text = bfd, Division = 100.0
84: It Cyclic cipher: ciphered_text = z, deciphered_text = d, Division = 100.0
85: It Cyclic cipher: ciphered_text = w, deciphered_text = d, Division = 100.0
86: It Cyclic cipher: ciphered_text = xd, deciphered_text = ag, Division = 100.0
87: It Cyclic cipher: ciphered_text = z, deciphered_text = d, Division = 100.0
88: It Cyclic cipher: ciphered_text = a, deciphered_text = d, Division = 100.0
89: It Symbols cipher: ciphered_text = uonk, deciphered_text = abbk, function_result = 100.0
90: It Cyclic cipher: ciphered_text = a, deciphered_text = d, Division = 100.0
91: It Symbols cipher: ciphered_text = iaxjxn, deciphered_text = bggabf, function_result = 100.16666666666667
92: It Symbols cipher: ciphered_text = psi, deciphered_text = bef, function_result = 100.33333333333333
93: It Cyclic cipher: ciphered_text = dzc, deciphered_text = fbe, Division = 100.33333333333333
94: It Symbols cipher: ciphered_text = cpo, deciphered_text = dcf, function_result = 100.33333333333333
95: It Symbols cipher: ciphered_text = ipu, deciphered_text = aak, function_result = 100.33333333333333
96: It Symbols cipher: ciphered_text = mov, deciphered_text = cgc, function_result = 100.33333333333333
97: It Cyclic cipher: ciphered_text = txw, deciphered_text = bfe, Division = 100.33333333333333
98: It Cyclic cipher: ciphered_text = acfyc, deciphered_text = cehae, Division = 100.4
99: It Symbols cipher: ciphered_text = edrz, deciphered_text = kbbc, function_result = 100.5
100: It Cyclic cipher: ciphered_text = vy, deciphered_text = cf, Division = 100.5
101: It Cyclic cipher: ciphered_text = gz, deciphered_text = ha, Division = 100.5
102: It Symbols cipher: ciphered_text = rwfjji, deciphered_text = cdieae, function_result = 100.5
103: It Cyclic cipher: ciphered_text = xw, deciphered_text = ed, Division = 100.5
104: It Cyclic cipher: ciphered_text = ba, deciphered_text = ed, Division = 100.5
105: It Cyclic cipher: ciphered_text = crqru, deciphered_text = mbabe, Division = 100.6
106: It Symbols cipher: ciphered_text = evi, deciphered_text = bic, function_result = 100.66666666666667
107: It Symbols cipher: ciphered_text = sut, deciphered_text = fag, function_result = 100.66666666666667
108: It Cyclic cipher: ciphered_text = zvc, deciphered_text = eah, Division = 100.66666666666667
109: It Cyclic cipher: ciphered_text = vdvvcywxy, deciphered_text = bjbbiecde, Division = 100.66666666666667
110: It Symbols cipher: ciphered_text = prf, deciphered_text = beg, function_result = 100.66666666666667
111: It Cyclic cipher: ciphered_text = yhx, deciphered_text = bka, Division = 100.66666666666667
112: It Symbols cipher: ciphered_text = qvp, deciphered_text = eed, function_result = 100.66666666666667
113: It Cyclic cipher: ciphered_text = d, deciphered_text = e, Division = 101.0
114: It Cyclic cipher: ciphered_text = v, deciphered_text = e, Division = 101.0
115: It Cyclic cipher: ciphered_text = y, deciphered_text = e, Division = 101.0
116: It Cyclic cipher: ciphered_text = x, deciphered_text = e, Division = 101.0
117: It Cyclic cipher: ciphered_text = d, deciphered_text = e, Division = 101.0
118: It Cyclic cipher: ciphered_text = zt, deciphered_text = hb, Division = 101.0
119: It Cyclic cipher: ciphered_text = v, deciphered_text = e, Division = 101.0
120: It Cyclic cipher: ciphered_text = w, deciphered_text = e, Division = 101.0
121: It Cyclic cipher: ciphered_text = y, deciphered_text = e, Division = 101.0
122: It Symbols cipher: ciphered_text = ubt, deciphered_text = cci, function_result = 101.0
123: It Cyclic cipher: ciphered_text = d, deciphered_text = e, Division = 101.0
124: It Cyclic cipher: ciphered_text = y, deciphered_text = e, Division = 101.0
125: It Cyclic cipher: ciphered_text = d, deciphered_text = e, Division = 101.0
126: It Cyclic cipher: ciphered_text = v, deciphered_text = e, Division = 101.0
127: It Cyclic cipher: ciphered_text = c, deciphered_text = e, Division = 101.0
128: It Cyclic cipher: ciphered_text = xd, deciphered_text = bh, Division = 101.0
129: It Cyclic cipher: ciphered_text = w, deciphered_text = e, Division = 101.0
130: It Cyclic cipher: ciphered_text = bwxcvvvkev, deciphered_text = gbchaaapja, Division = 101.0
131: It Cyclic cipher: ciphered_text = v, deciphered_text = e, Division = 101.0
132: It Cyclic cipher: ciphered_text = w, deciphered_text = e, Division = 101.0
133: It Cyclic cipher: ciphered_text = w, deciphered_text = e, Division = 101.0
134: It Symbols cipher: ciphered_text = bjb, deciphered_text = jbc, function_result = 101.0
135: It Cyclic cipher: ciphered_text = cyd, deciphered_text = fbg, Division = 101.0
136: It Cyclic cipher: ciphered_text = c, deciphered_text = e, Division = 101.0
137: It Cyclic cipher: ciphered_text = z, deciphered_text = e, Division = 101.0
138: It Cyclic cipher: ciphered_text = x, deciphered_text = e, Division = 101.0
139: It Cyclic cipher: ciphered_text = zzzclfa, deciphered_text = bbbenhc, Division = 101.14285714285714
140: It Symbols cipher: ciphered_text = iojpyn, deciphered_text = lhabfb, function_result = 101.16666666666667
141: It Symbols cipher: ciphered_text = mfiee, deciphered_text = hebbi, function_result = 101.2
142: It Cyclic cipher: ciphered_text = ambez, deciphered_text = bncfa, Division = 101.2
143: It Symbols cipher: ciphered_text = csgrk, deciphered_text = drbaa, function_result = 101.2
144: It Cyclic cipher: ciphered_text = zaz, deciphered_text = efe, Division = 101.33333333333333
145: It Symbols cipher: ciphered_text = wvr, deciphered_text = fia, function_result = 101.33333333333333
146: It Cyclic cipher: ciphered_text = crt, deciphered_text = lac, Division = 101.33333333333333
147: It Cyclic cipher: ciphered_text = srd, deciphered_text = bam, Division = 101.33333333333333
148: It Symbols cipher: ciphered_text = qex, deciphered_text = cjc, function_result = 101.33333333333333
149: It Symbols cipher: ciphered_text = oqa, deciphered_text = bkc, function_result = 101.33333333333333
150: It Symbols cipher: ciphered_text = flk, deciphered_text = jdb, function_result = 101.33333333333333
151: It Symbols cipher: ciphered_text = jxb, deciphered_text = ceh, function_result = 101.33333333333333
152: It Cyclic cipher: ciphered_text = xyx, deciphered_text = efe, Division = 101.33333333333333
153: It Symbols cipher: ciphered_text = qft, deciphered_text = bbl, function_result = 101.33333333333333
154: It Symbols cipher: ciphered_text = msdkl, deciphered_text = dmdae, function_result = 101.4
155: It Symbols cipher: ciphered_text = onhdq, deciphered_text = bcggh, function_result = 101.4
156: It Symbols cipher: ciphered_text = ikxylfy, deciphered_text = gflbfbc, function_result = 101.42857142857143
157: It Cyclic cipher: ciphered_text = zcoz, deciphered_text = adpa, Division = 101.5
158: It Cyclic cipher: ciphered_text = ax, deciphered_text = gd, Division = 101.5
159: It Cyclic cipher: ciphered_text = zu, deciphered_text = hc, Division = 101.5
160: It Cyclic cipher: ciphered_text = ttbz, deciphered_text = bbjh, Division = 101.5
161: It Cyclic cipher: ciphered_text = ub, deciphered_text = bi, Division = 101.5
162: It Symbols cipher: ciphered_text = qidw, deciphered_text = nccb, function_result = 101.5
163: It Cyclic cipher: ciphered_text = yz, deciphered_text = ef, Division = 101.5
164: It Cyclic cipher: ciphered_text = xs, deciphered_text = hc, Division = 101.5
165: It Cyclic cipher: ciphered_text = xizy, deciphered_text = bmdc, Division = 101.5
166: It Cyclic cipher: ciphered_text = zczdk, deciphered_text = bebfm, Division = 101.6
167: It Symbols cipher: ciphered_text = ggmcl, deciphered_text = bejhc, function_result = 101.6
168: It Symbols cipher: ciphered_text = yxtif, deciphered_text = ackal, function_result = 101.6
169: It Cyclic cipher: ciphered_text = use, deciphered_text = cam, Division = 101.66666666666667
170: It Symbols cipher: ciphered_text = fdp, deciphered_text = anb, function_result = 101.66666666666667
171: It Symbols cipher: ciphered_text = dxx, deciphered_text = lcb, function_result = 101.66666666666667
172: It Symbols cipher: ciphered_text = xdz, deciphered_text = eci, function_result = 101.66666666666667
173: It Cyclic cipher: ciphered_text = bahz, deciphered_text = edkc, Division = 101.75
174: It Cyclic cipher: ciphered_text = bezh, deciphered_text = dgbj, Division = 101.75
175: It Cyclic cipher: ciphered_text = tcwa, deciphered_text = ajdh, Division = 101.75
176: It Cyclic cipher: ciphered_text = gcecf, deciphered_text = hdfdg, Division = 101.8
177: It Cyclic cipher: ciphered_text = xhzaia, deciphered_text = akcdld, Division = 101.83333333333333
178: It Cyclic cipher: ciphered_text = ayefmy, deciphered_text = caghoa, Division = 101.83333333333333
179: It Cyclic cipher: ciphered_text = xvukxtz, deciphered_text = ecbreag, Division = 101.85714285714286
180: It Cyclic cipher: ciphered_text = d, deciphered_text = f, Division = 102.0
181: It Symbols cipher: ciphered_text = kulz, deciphered_text = cegi, function_result = 102.0
182: It Cyclic cipher: ciphered_text = y, deciphered_text = f, Division = 102.0
183: It Cyclic cipher: ciphered_text = atb, deciphered_text = hai, Division = 102.0
184: It Cyclic cipher: ciphered_text = c, deciphered_text = f, Division = 102.0
185: It Cyclic cipher: ciphered_text = c, deciphered_text = f, Division = 102.0
186: It Symbols cipher: ciphered_text = hhi, deciphered_text = ldb, function_result = 102.0
187: It Symbols cipher: ciphered_text = yki, deciphered_text = aap, function_result = 102.0
188: It Symbols cipher: ciphered_text = tdsvwbw, deciphered_text = njfaecc, function_result = 102.0
189: It Cyclic cipher: ciphered_text = e, deciphered_text = f, Division = 102.0
190: It Cyclic cipher: ciphered_text = wddwegz, deciphered_text = ahhaikd, Division = 102.0
191: It Cyclic cipher: ciphered_text = ai, deciphered_text = bj, Division = 102.0
192: It Cyclic cipher: ciphered_text = c, deciphered_text = f, Division = 102.0
193: It Symbols cipher: ciphered_text = nxse, deciphered_text = adar, function_result = 102.0
194: It Cyclic cipher: ciphered_text = y, deciphered_text = f, Division = 102.0
195: It Cyclic cipher: ciphered_text = oabb, deciphered_text = pbcc, Division = 102.0
196: It Cyclic cipher: ciphered_text = v, deciphered_text = f, Division = 102.0
197: It Cyclic cipher: ciphered_text = uc, deciphered_text = bj, Division = 102.0
198: It Cyclic cipher: ciphered_text = zha, deciphered_text = ckd, Division = 102.0
199: It Cyclic cipher: ciphered_text = c, deciphered_text = f, Division = 102.0
200: It Cyclic cipher: ciphered_text = xt, deciphered_text = hd, Division = 102.0
201: It Cyclic cipher: ciphered_text = y, deciphered_text = f, Division = 102.0
202: It Cyclic cipher: ciphered_text = sc, deciphered_text = ak, Division = 102.0
203: It Cyclic cipher: ciphered_text = c, deciphered_text = f, Division = 102.0
204: It Cyclic cipher: ciphered_text = a, deciphered_text = f, Division = 102.0
205: It Cyclic cipher: ciphered_text = c, deciphered_text = f, Division = 102.0
206: It Symbols cipher: ciphered_text = vqoql, deciphered_text = fibid, function_result = 102.0
207: It Symbols cipher: ciphered_text = mzljegdhzf, deciphered_text = obfaqgdbcc, function_result = 102.0
208: It Cyclic cipher: ciphered_text = zacea, deciphered_text = degie, Division = 102.0
209: It Cyclic cipher: ciphered_text = a, deciphered_text = f, Division = 102.0
210: It Cyclic cipher: ciphered_text = d, deciphered_text = f, Division = 102.0
211: It Cyclic cipher: ciphered_text = y, deciphered_text = f, Division = 102.0
212: It Symbols cipher: ciphered_text = hns, deciphered_text = jce, function_result = 102.0
213: It Cyclic cipher: ciphered_text = d, deciphered_text = f, Division = 102.0
214: It Cyclic cipher: ciphered_text = we, deciphered_text = bj, Division = 102.0
215: It Cyclic cipher: ciphered_text = x, deciphered_text = f, Division = 102.0
216: It Cyclic cipher: ciphered_text = a, deciphered_text = f, Division = 102.0
217: It Cyclic cipher: ciphered_text = xx, deciphered_text = ff, Division = 102.0
218: It Cyclic cipher: ciphered_text = cubbbw, deciphered_text = iahhhc, Division = 102.16666666666667
219: It Symbols cipher: ciphered_text = mhaui, deciphered_text = imccc, function_result = 102.2
220: It Cyclic cipher: ciphered_text = xyyue, deciphered_text = effbl, Division = 102.2
221: It Symbols cipher: ciphered_text = ciong, deciphered_text = cjefg, function_result = 102.2
222: It Symbols cipher: ciphered_text = fiw, deciphered_text = icg, function_result = 102.33333333333333
223: It Symbols cipher: ciphered_text = yzd, deciphered_text = gff, function_result = 102.33333333333333
224: It Cyclic cipher: ciphered_text = cxf, deciphered_text = gbj, Division = 102.33333333333333
225: It Cyclic cipher: ciphered_text = vaa, deciphered_text = chh, Division = 102.33333333333333
226: It Symbols cipher: ciphered_text = rms, deciphered_text = oca, function_result = 102.33333333333333
227: It Cyclic cipher: ciphered_text = why, deciphered_text = bmd, Division = 102.33333333333333
228: It Symbols cipher: ciphered_text = bou, deciphered_text = bcn, function_result = 102.33333333333333
229: It Symbols cipher: ciphered_text = nxl, deciphered_text = jde, function_result = 102.33333333333333
230: It Cyclic cipher: ciphered_text = vhurq, deciphered_text = freba, Division = 102.4
231: It Cyclic cipher: ciphered_text = xgexy, deciphered_text = cljcd, Division = 102.4
232: It Symbols cipher: ciphered_text = xukbh, deciphered_text = kigcb, function_result = 102.4
233: It Cyclic cipher: ciphered_text = bczxi, deciphered_text = fgdbm, Division = 102.4
234: It Cyclic cipher: ciphered_text = xbyvhya, deciphered_text = dhebneg, Division = 102.42857142857143
235: It Cyclic cipher: ciphered_text = rcccea, deciphered_text = sdddfb, Division = 102.5
236: It Symbols cipher: ciphered_text = xdtlnf, deciphered_text = fgatcb, function_result = 102.5
237: It Cyclic cipher: ciphered_text = xi, deciphered_text = al, Division = 102.5
238: It Cyclic cipher: ciphered_text = ds, deciphered_text = la, Division = 102.5
239: It Cyclic cipher: ciphered_text = xahbjbxa, deciphered_text = belfnfbe, Division = 102.5
240: It Symbols cipher: ciphered_text = ymeqfi, deciphered_text = amefam, function_result = 102.5
241: It Cyclic cipher: ciphered_text = zs, deciphered_text = jc, Division = 102.5
242: It Cyclic cipher: ciphered_text = af, deciphered_text = di, Division = 102.5
243: It Symbols cipher: ciphered_text = zpkhxkfo, deciphered_text = kdmaaeob, function_result = 102.5
244: It Cyclic cipher: ciphered_text = ax, deciphered_text = he, Division = 102.5
245: It Symbols cipher: ciphered_text = pofgrkd, deciphered_text = ibbjgig, function_result = 102.57142857142857
246: It Symbols cipher: ciphered_text = xbmrk, deciphered_text = iakic, function_result = 102.6
247: It Symbols cipher: ciphered_text = lcc, deciphered_text = aen, function_result = 102.66666666666667
248: It Cyclic cipher: ciphered_text = udc, deciphered_text = aji, Division = 102.66666666666667
249: It Symbols cipher: ciphered_text = nro, deciphered_text = pbb, function_result = 102.66666666666667
250: It Cyclic cipher: ciphered_text = mwx, deciphered_text = qab, Division = 102.66666666666667
251: It Cyclic cipher: ciphered_text = acj, deciphered_text = cel, Division = 102.66666666666667
252: It Symbols cipher: ciphered_text = isn, deciphered_text = acp, function_result = 102.66666666666667
253: It Cyclic cipher: ciphered_text = wyz, deciphered_text = egh, Division = 102.66666666666667
254: It Cyclic cipher: ciphered_text = fxx, deciphered_text = ldd, Division = 102.66666666666667
255: It Cyclic cipher: ciphered_text = uuzwyju, deciphered_text = cchegrc, Division = 102.71428571428571
256: It Symbols cipher: ciphered_text = msvd, deciphered_text = qeda, function_result = 102.75
257: It Cyclic cipher: ciphered_text = zcxf, deciphered_text = ehck, Division = 102.75
258: It Number cipher: ciphered_text =  1630143661220634854, deciphered_text = hjapabdiftbb, function_result = 102.75
259: It Symbols cipher: ciphered_text = afiscl, deciphered_text = bczbec, function_result = 102.83333333333333
260: It Cyclic cipher: ciphered_text = czhcayf, deciphered_text = gdlgecj, Division = 102.85714285714286
261: It Cyclic cipher: ciphered_text = bvqbzts, deciphered_text = lfaljdc, Division = 102.85714285714286
262: It Symbols cipher: ciphered_text = ashvrfe, deciphered_text = emhraba, function_result = 102.85714285714286
263: It Symbols cipher: ciphered_text = dtzsqcjg, deciphered_text = achfgsdg, function_result = 102.875
264: It Cyclic cipher: ciphered_text = vzavdxki, deciphered_text = aefaicpn, Division = 102.875
265: It Symbols cipher: ciphered_text = oavypkkck, deciphered_text = aiekdoifb, function_result = 102.88888888888889
266: It Cyclic cipher: ciphered_text = y, deciphered_text = g, Division = 103.0
267: It Symbols cipher: ciphered_text = ljo, deciphered_text = gfh, function_result = 103.0
268: It Symbols cipher: ciphered_text = xkxll, deciphered_text = oaidf, function_result = 103.0
269: It Cyclic cipher: ciphered_text = c, deciphered_text = g, Division = 103.0
270: It Symbols cipher: ciphered_text = aru, deciphered_text = apd, function_result = 103.0
271: It Cyclic cipher: ciphered_text = e, deciphered_text = g, Division = 103.0
272: It Cyclic cipher: ciphered_text = e, deciphered_text = g, Division = 103.0
273: It Cyclic cipher: ciphered_text = a, deciphered_text = g, Division = 103.0
274: It Cyclic cipher: ciphered_text = e, deciphered_text = g, Division = 103.0
275: It Cyclic cipher: ciphered_text = b, deciphered_text = g, Division = 103.0
276: It Cyclic cipher: ciphered_text = f, deciphered_text = g, Division = 103.0
277: It Cyclic cipher: ciphered_text = xth, deciphered_text = eao, Division = 103.0
278: It Cyclic cipher: ciphered_text = sraac, deciphered_text = bajjl, Division = 103.0
279: It Cyclic cipher: ciphered_text = b, deciphered_text = g, Division = 103.0
280: It Cyclic cipher: ciphered_text = bvwe, deciphered_text = icdl, Division = 103.0
281: It Cyclic cipher: ciphered_text = izzplyzd, deciphered_text = kbbrnabf, Division = 103.0
282: It Cyclic cipher: ciphered_text = wydv, deciphered_text = egld, Division = 103.0
283: It Cyclic cipher: ciphered_text = izej, deciphered_text = jafk, Division = 103.0
284: It Cyclic cipher: ciphered_text = z, deciphered_text = g, Division = 103.0
285: It Cyclic cipher: ciphered_text = ushv, deciphered_text = dbqe, Division = 103.0
286: It Symbols cipher: ciphered_text = tqm, deciphered_text = amg, function_result = 103.0
287: It Symbols cipher: ciphered_text = spj, deciphered_text = emc, function_result = 103.0
288: It Symbols cipher: ciphered_text = adasszzq, deciphered_text = eqpgbdcb, function_result = 103.0
289: It Symbols cipher: ciphered_text = yyxsab, deciphered_text = gfgcdo, function_result = 103.0
290: It Cyclic cipher: ciphered_text = d, deciphered_text = g, Division = 103.0
291: It Cyclic cipher: ciphered_text = f, deciphered_text = g, Division = 103.0
292: It Cyclic cipher: ciphered_text = xh, deciphered_text = bl, Division = 103.0
293: It Cyclic cipher: ciphered_text = f, deciphered_text = g, Division = 103.0
294: It Cyclic cipher: ciphered_text = d, deciphered_text = g, Division = 103.0
295: It Symbols cipher: ciphered_text = egh, deciphered_text = jch, function_result = 103.0
296: It Cyclic cipher: ciphered_text = jx, deciphered_text = ma, Division = 103.0
297: It Cyclic cipher: ciphered_text = xzn, deciphered_text = acq, Division = 103.0
298: It Symbols cipher: ciphered_text = dkm, deciphered_text = eek, function_result = 103.0
299: It Symbols cipher: ciphered_text = wql, deciphered_text = hid, function_result = 103.0
300: It Cyclic cipher: ciphered_text = uues, deciphered_text = eeoc, Division = 103.0
301: It Number cipher: ciphered_text =  1840724836100273141230, deciphered_text = hkegalnhkcad, function_result = 103.08333333333333
302: It Cyclic cipher: ciphered_text = fiyydv, deciphered_text = knddia, Division = 103.16666666666667
303: It Symbols cipher: ciphered_text = exyoyk, deciphered_text = edbbnp, function_result = 103.16666666666667
304: It Cyclic cipher: ciphered_text = vbxyq, deciphered_text = flhia, Division = 103.2
305: It Cyclic cipher: ciphered_text = zxfvk, deciphered_text = eckap, Division = 103.2
306: It Cyclic cipher: ciphered_text = jxaym, deciphered_text = madbp, Division = 103.2
307: It Symbols cipher: ciphered_text = pypovcwob, deciphered_text = eaaeasnqb, function_result = 103.22222222222223
308: It Symbols cipher: ciphered_text = jakwcsqi, deciphered_text = acdrlfhf, function_result = 103.25
309: It Number cipher: ciphered_text =  3224541014726032644012540104832, deciphered_text = jcndpbdpiaofgebb, function_result = 103.25
310: It Symbols cipher: ciphered_text = hnoh, deciphered_text = ocja, function_result = 103.25
311: It Symbols cipher: ciphered_text = kbfd, deciphered_text = darf, function_result = 103.25
312: It Symbols cipher: ciphered_text = domd, deciphered_text = igkb, function_result = 103.25
313: It Symbols cipher: ciphered_text = mrmw, deciphered_text = uccb, function_result = 103.25
314: It Cyclic cipher: ciphered_text = xafl, deciphered_text = adio, Division = 103.25
315: It Cyclic cipher: ciphered_text = afz, deciphered_text = fke, Division = 103.33333333333333
316: It Cyclic cipher: ciphered_text = ytyzjt, deciphered_text = gbghrb, Division = 103.33333333333333
317: It Symbols cipher: ciphered_text = rth, deciphered_text = idi, function_result = 103.33333333333333
318: It Cyclic cipher: ciphered_text = xbg, deciphered_text = cgl, Division = 103.33333333333333
319: It Symbols cipher: ciphered_text = dkg, deciphered_text = ddn, function_result = 103.33333333333333
320: It Symbols cipher: ciphered_text = llu, deciphered_text = hei, function_result = 103.33333333333333
321: It Symbols cipher: ciphered_text = bnpykv, deciphered_text = obedhj, function_result = 103.33333333333333
322: It Symbols cipher: ciphered_text = zoiptimcw, deciphered_text = imdcsgdeb, function_result = 103.33333333333333
323: It Symbols cipher: ciphered_text = puoeih, deciphered_text = enfbih, function_result = 103.33333333333333
324: It Symbols cipher: ciphered_text = qcr, deciphered_text = dqa, function_result = 103.33333333333333
325: It Symbols cipher: ciphered_text = niy, deciphered_text = ifg, function_result = 103.33333333333333
326: It Symbols cipher: ciphered_text = bsc, deciphered_text = ihe, function_result = 103.33333333333333
327: It Cyclic cipher: ciphered_text = xvlzyzku, deciphered_text = dbrfefqa, Division = 103.375
328: It Cyclic cipher: ciphered_text = hwwbczamyd, deciphered_text = mbbghefrdi, Division = 103.4
329: It Number cipher: ciphered_text =  73016548140122720365012, deciphered_text = cfhqhscabbfn, function_result = 103.41666666666667
330: It Symbols cipher: ciphered_text = husuuis, deciphered_text = ijbpffc, function_result = 103.42857142857143
